Dzielnica   Nazwa szkoły                                                                   Symbol oddziału     Nazwa krótka oddziału                                              Najmniejsza liczba punktów kandydatów zakwalifikowanych
Mokotów   VI Liceum Ogólnokształcące im. Tadeusza Reytana                                    1/2             1/2 [O] fiz-ang-mat (ang-hisz)                                164.05
Mokotów   VI Liceum Ogólnokształcące im. Tadeusza Reytana                                    1/3             1/3 [O] biz-mat-wos (ang-hisz)                                164.65
Mokotów   VI Liceum Ogólnokształcące im. Tadeusza Reytana                                    1/4             1/4 [O] biz-geogr-mat (ang-niem)                              166.30
Mokotów   VI Liceum Ogólnokształcące im. Tadeusza Reytana                                    1/5             1/5 [O] biol-chem-mat (ang-niem)                              168.30
Mokotów   VI Liceum Ogólnokształcące im. Tadeusza Reytana                                    1/6             1/6 [O] biol-chem-ang (ang-niem)                              167.70
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1AF             1AF [O] hist-pol-wos (ang-fra)                                153.65
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1AH             1AH [O] hist-pol-wos (ang-hisz)                               156.35
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1BH             1BH [O] biol-fiz-mat (ang-hisz)                               157.55
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1BN             1BN [O] biol-fiz-mat (ang-niem)                               153.15
Mokotów   X Liceum Ogólnokształcące im. Królowej Jadwigi                                     1CH             1CH [O] biz-geogr-mat (ang-hisz)                              164.80
